5.86655 9.21E-08 2.77E-08
5.90965 9.30E-08 2.79E-08
5.95307 9.40E-08 2.82E-08
5.99681 9.50E-08 2.84E-08
6.04087 9.60E-08 2.87E-08
6.08526 9.70E-08 2.90E-08
6.12997 9.80E-08 2.92E-08
6.17501 9.90E-08 2.95E-08
6.22038 1.00E-07 2.98E-08
6.26608 1.01E-07 3.00E-08
6.31212 1.02E-07 3.03E-08
6.3585 1.03E-07 3.06E-08
6.40522 1.04E-07 3.08E-08
6.45228 1.05E-07 3.11E-08
6.49969 1.06E-07 3.14E-08
6.54744 1.07E-07 3.17E-08
6.59555 1.09E-07 3.20E-08
6.64401 1.10E-07 3.23E-08
6.69283 1.11E-07 3.25E-08
6.742 1.12E-07 3.28E-08
6.79154 1.13E-07 3.31E-08
6.84144 1.14E-07 3.34E-08
6.89171 1.15E-07 3.37E-08
6.94234 1.17E-07 3.40E-08
6.99335 1.18E-07 3.43E-08
7.04473 1.19E-07 3.46E-08
7.09649 1.20E-07 3.49E-08
7.14863 1.21E-07 3.52E-08
7.20116 1.23E-07 3.55E-08
7.25407 1.24E-07 3.58E-08
7.30737 1.25E-07 3.62E-08
7.36106 1.26E-07 3.65E-08
7.41514 1.28E-07 3.68E-08
7.46962 1.29E-07 3.71E-08
7.52451 1.30E-07 3.74E-08
7.57979 1.31E-07 3.78E-08
7.63548 1.33E-07 3.81E-08
7.69158 1.34E-07 3.84E-08
7.7481 1.35E-07 3.87E-08
7.80503 1.37E-07 3.91E-08
7.86237 1.38E-07 3.94E-08
7.92014 1.40E-07 3.98E-08
7.97833 1.41E-07 4.01E-08
8.03695 1.42E-07 4.04E-08
8.096 1.44E-07 4.08E-08
8.15549 1.45E-07 4.11E-08
8.21541 1.47E-07 4.15E-08
8.27577 1.48E-07 4.18E-08
8.33658 1.49E-07 4.22E-08
8.39783 1.51E-07 4.25E-08
8.45953 1.52E-07 4.29E-08
8.52169 1.54E-07 4.33E-08
8.5843 1.55E-07 4.36E-08
8.64737 1.57E-07 4.40E-08
8.71091 1.58E-07 4.43E-08
8.77491 1.60E-07 4.47E-08
8.83938 1.62E-07 4.51E-08
8.90433 1.63E-07 4.55E-08
8.96975 1.65E-07 4.58E-08
9.03566 1.66E-07 4.62E-08
9.10205 1.68E-07 4.66E-08
9.16892 1.70E-07 4.70E-08
9.23629 1.71E-07 4.74E-08
9.30415 1.73E-07 4.78E-08
9.37251 1.75E-07 4.81E-08
9.44138 1.76E-07 4.85E-08
9.51075 1.78E-07 4.89E-08
9.58063 1.80E-07 4.93E-08
9.65102 1.81E-07 4.97E-08
9.72193 1.83E-07 5.01E-08
9.79336 1.85E-07 5.05E-08
9.86532 1.87E-07 5.09E-08
9.9378 1.88E-07 5.14E-08
10.01082 1.90E-07 5.18E-08
10.08437 1.92E-07 5.22E-08
10.15846 1.94E-07 5.26E-08
10.2331 1.96E-07 5.30E-08
10.30829 1.97E-07 5.34E-08
10.38403 1.99E-07 5.39E-08
10.46032 2.01E-07 5.43E-08
10.53718 2.03E-07 5.47E-08
10.6146 2.05E-07 5.52E-08
10.69259 2.07E-07 5.56E-08
10.77115 2.09E-07 5.60E-08
10.85029 2.11E-07 5.65E-08
10.93002 2.13E-07 5.69E-08
